Date de début,Date de fin,geo_point_2d
2012-01-01,2024-12-20,"48.824945580960076, 2.384284439827768"
2018-07-23,2024-11-30,"48.82630766425324, 2.3799694728731717"
2019-07-01,2024-12-31,"48.851920958050805, 2.277550787213821"
2020-06-29,2025-03-31,"48.86240295301129, 2.3372231998594786"
2020-06-29,2025-03-31,"48.861776141969294, 2.339176391503361"
2021-07-12,2025-05-15,"48.85478929337244, 2.3305830937444014"
2022-07-18,2025-11-28,"48.847721304519226, 2.396928147068433"
2022-10-10,2026-06-03,"48.88334292681566, 2.3550956528458444"
2022-11-14,2025-06-27,"48.82574599992238, 2.300005595088704"
2022-11-28,2024-12-30,"48.838956421787096, 2.3368184693775307"
2023-03-27,2026-07-06,"48.85351124901634, 2.265144855721094"
2023-06-12,2025-12-31,"48.84843637487578, 2.2812529587641186"
2023-07-17,2025-03-21,"48.891745198160194, 2.3649247193591507"
2024-01-08,2025-04-01,"48.84219098441977, 2.3640339656032325"
2024-03-01,2026-07-31,"48.83484937402215, 2.3183568054757377"
2024-06-17,2025-12-31,"48.839782408337534, 2.3949302927175573"
2024-08-01,2025-08-29,"48.839379679853586, 2.39662252961462"
2024-09-05,2026-12-31,"48.84213805283548, 2.34694153763722"
2024-09-09,2024-12-15,"48.878487350670866, 2.312342244476638"
2024-09-16,2024-11-28,"48.83549694973529, 2.3293822608488584"
2024-09-16,2025-04-30,"48.84417111487661, 2.3650970077303937"
2024-09-16,2024-12-20,"48.88010846615958, 2.350963437051444"
2024-09-16,2025-02-28,"48.87965304714058, 2.2898731526918956"
2024-09-16,2025-02-28,"48.87984282429404, 2.359292274047231"
2024-09-16,2024-11-29,"48.83077560224916, 2.2847224385561113"
2024-09-16,2025-01-30,"48.848555692634534, 2.356608141994743"
2024-09-20,2025-02-28,"48.877511959501966, 2.3658727041610015"
2024-09-27,2024-11-29,"48.827837987228314, 2.329787693718862"
2024-10-01,2026-08-01,"48.85926763703709, 2.329935695831666"
2024-10-01,2025-01-31,"48.85110815130987, 2.4123515279675107"
2024-10-01,2026-06-30,"48.87861607788131, 2.3556125113066106"
2024-10-01,2025-01-31,"48.85128978864833, 2.4114239862239404"
2024-10-01,2025-01-31,"48.85180975039869, 2.411773440962627"
2024-10-02,2024-12-30,"48.86713794756173, 2.2785872963104277"
2024-10-03,2024-12-17,"48.820247135136334, 2.339443039288135"
2024-10-04,2024-11-26,"48.88724082630918, 2.3326386799528103"
2024-10-07,2024-12-20,"48.84384703195849, 2.3067034136171336"
2024-10-07,2024-12-20,"48.85634687462239, 2.4037171595760487"
2024-10-07,2026-02-13,"48.83097169004043, 2.3060615779034053"
2024-10-07,2026-02-16,"48.8447949508643, 2.3207923341848087"
2024-10-14,2024-12-06,"48.87613580251372, 2.3707481669408694"
2024-10-14,2024-11-29,"48.86921968648766, 2.360271844257737"
2024-10-14,2025-02-26,"48.882425002699634, 2.3627212179717345"
2024-10-21,2026-10-31,"48.83954177580066, 2.304658267792856"
2024-10-21,2024-12-20,"48.832775374619985, 2.288126750049448"
2024-10-21,2024-12-20,"48.8496186191537, 2.3157586104502643"
2024-10-28,2024-12-13,"48.85015059486678, 2.36697983047449"
2024-10-30,2026-03-30,"48.84170643714342, 2.3194725247371406"
2024-11-04,2025-01-06,"48.89931317374321, 2.359055974196613"
2024-11-04,2024-12-20,"48.86386594301921, 2.335663097818159"
2024-11-04,2024-12-20,"48.84893424656242, 2.4040196692875875"
2024-11-04,2025-03-03,"48.84146332644451, 2.326334819553636"
2024-11-12,2025-11-14,"48.8752975487471, 2.357585321445377"
2024-11-12,2024-12-09,"48.87462382590562, 2.3588820370833816"
2024-11-12,2024-12-12,"48.82053971916495, 2.3436433640214376"
2024-11-12,2025-01-14,"48.851104192017296, 2.362455662363188"
2024-11-12,2025-01-17,"48.85005782385141, 2.412899459671164"
2024-11-12,2024-12-31,"48.854020562231014, 2.413605761641423"
2024-11-17,2025-11-14,"48.87563107014458, 2.3576185481744227"
2024-11-17,2025-11-14,"48.875627858833006, 2.357752906252346"
2024-11-25,2025-03-31,"48.883331921025245, 2.369301613374635"
2024-11-25,2025-02-23,"48.87763333243028, 2.355476763048588"
2024-11-25,2025-02-10,"48.87966758071807, 2.3560512901862016"
2024-11-26,2024-12-19,"48.88744070421021, 2.332603272096946"
2024-11-26,2024-12-19,"48.89115021237207, 2.334610993818094"
,,"48.92297457567503, 2.2605022793462584"
